gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
XRCC2	FBI	gain	12	73	40	85	0.3493150684931507	0.0033395146003315813	0.059648941318699814	True
XRCC2	FBI	loss	2	83	16	109	0.16415662650602408	0.010208374037728835	0.13759112833460604	False
SLX4	FBI	gain	0	85	1	124	0.0	0.9999999999999843	1.0	False
SLX4	FBI	loss	24	61	47	78	0.6529473317056156	0.1823397516182594	0.7340951039176677	False
BRCA1	FBI	gain	0	85	2	123	0.0	0.5158350421508662	1.0	False
BRCA1	FBI	loss	30	55	61	64	0.5722801788375559	0.06515213474772015	0.42972684620836693	False
FANCE	FBI	gain	20	65	25	100	1.2307692307692308	0.6081629584243169	1.0	False
FANCE	FBI	loss	9	76	16	109	0.8067434210526315	0.6706753952102755	1.0	False
CCNE1	FBI	gain	33	52	20	105	3.331730769230769	0.00031596344311055454	0.0232088309031705	True
CCNE1	FBI	loss	4	81	5	120	1.1851851851851851	1.0	1.0	False
FANCD2	FBI	gain	1	84	6	119	0.2361111111111111	0.2452720635137466	0.864026587377971	False
FANCD2	FBI	loss	8	77	22	103	0.48642266824085006	0.11064479306312866	0.6124979615994622	False
FANCM	FBI	gain	0	85	11	114	0.0	0.0033716287605615484	0.059648941318699814	True
FANCM	FBI	loss	13	72	23	102	0.8007246376811594	0.5823300220512125	1.0	False
FANCI	FBI	gain	4	81	25	100	0.19753086419753085	0.0018154884177447221	0.04612726643400536	True
FANCI	FBI	loss	26	59	20	105	2.3135593220338984	0.016870806910263107	0.1743316714060521	False
KRAS	HRD-Dup	gain	19	51	38	102	1.0	1.0	1.0	False
KRAS	HRD-Dup	loss	3	67	7	133	0.8507462686567164	1.0	1.0	False
FANCA	HRD-Dup	gain	3	67	1	139	6.223880597014926	0.1089743589743657	0.6124979615994622	False
FANCA	HRD-Dup	loss	33	37	72	68	0.8423423423423423	0.6607090951847701	1.0	False
BRIP1	HRD-Dup	gain	8	62	13	127	1.260545905707196	0.6316940524659943	1.0	False
BRIP1	HRD-Dup	loss	20	50	43	97	0.9023255813953488	0.8732266269521625	1.0	False
MDM2	HRD-Dup	gain	6	64	17	123	0.6783088235294118	0.4914981751058521	1.0	False
MDM2	HRD-Dup	loss	12	58	7	133	3.9310344827586206	0.008663063937558776	0.1278833247925343	False
FANCC	HRD-Dup	gain	4	66	4	136	2.0606060606060606	0.4451069276889522	1.0	False
FANCC	HRD-Dup	loss	15	55	44	96	0.5950413223140496	0.14489932093691144	0.6769393618399266	False
FANCG	HRD-Dup	gain	7	63	14	126	1.0	1.0	1.0	False
FANCG	HRD-Dup	loss	14	56	27	113	1.0462962962962963	1.0	1.0	False
RFWD3	HRD-Dup	gain	3	67	2	138	3.08955223880597	0.3360181946027906	1.0	False
RFWD3	HRD-Dup	loss	42	28	75	65	1.3	0.4614093236148535	1.0	False
TP53	HRD-Dup	gain	1	69	1	139	2.0144927536231885	1.0	1.0	False
TP53	HRD-Dup	loss	49	21	72	68	2.2037037037037037	0.011858586273382803	0.14561945231151646	False
PALB2	HRD-Dup	gain	5	65	6	134	1.7179487179487178	0.511969186886854	1.0	False
PALB2	HRD-Dup	loss	8	62	26	114	0.56575682382134	0.2343897128300658	0.853448876704609	False
FANCL	HRD-Dup	gain	9	61	16	124	1.1434426229508197	0.8222496171057132	1.0	False
FANCL	HRD-Dup	loss	2	68	2	138	2.0294117647058822	0.6020938126201744	1.0	False
RAD51	HRD-Dup	gain	1	69	3	137	0.6618357487922706	1.0	1.0	False
RAD51	HRD-Dup	loss	30	40	53	87	1.2311320754716981	0.549779216289833	1.0	False
UBE2T	HRD-Dup	gain	8	62	37	103	0.35919790758500436	0.012682984556164338	0.14561945231151646	False
