gene	signature	type	a	b	c	d	odds_ratio	p	p.adj	significant
MDM2	HRD-Dup	gain	1	15	6	18	0.2	0.2096616740579599	1.0	False
MDM2	HRD-Dup	loss	4	12	0	24	inf	0.019914651493598882	1.0	False
FANCC	HRD-Dup	gain	1	15	1	23	1.5333333333333334	0.9999999999999991	1.0	False
FANCC	HRD-Dup	loss	2	14	7	17	0.3469387755102041	0.2717004692236889	1.0	False
FANCG	HRD-Dup	gain	1	15	3	21	0.4666666666666667	0.6375971112813263	1.0	False
FANCG	HRD-Dup	loss	5	11	6	18	1.3636363636363635	0.7275244884353042	1.0	False
RFWD3	HRD-Dup	gain	0	16	0	24	inf	1.0	1.0	False
RFWD3	HRD-Dup	loss	0	16	13	11	0.0	0.00031130080755223307	0.038601300136476904	True
TP53	HRD-Dup	gain	1	15	0	24	inf	0.39999999999999963	1.0	False
TP53	HRD-Dup	loss	11	5	11	13	2.6	0.2025950756095351	1.0	False
PALB2	HRD-Dup	gain	3	13	0	24	inf	0.056680161943320394	1.0	False
PALB2	HRD-Dup	loss	4	12	5	19	1.2666666666666666	1.0	1.0	False
FANCL	HRD-Dup	gain	2	14	2	22	1.5714285714285714	1.0	1.0	False
FANCL	HRD-Dup	loss	0	16	0	24	inf	1.0	1.0	False
RAD51	HRD-Dup	gain	0	16	1	23	0.0	1.0	1.0	False
RAD51	HRD-Dup	loss	7	9	10	14	1.0888888888888888	0.9999999999999981	1.0	False
UBE2T	HRD-Dup	gain	2	14	7	17	0.3469387755102041	0.2717004692236889	1.0	False
UBE2T	HRD-Dup	loss	3	13	1	23	5.3076923076923075	0.28324762008972837	1.0	False
PIK3CA	HRD-Dup	gain	7	9	9	15	1.2962962962962963	0.7501159446431978	1.0	False
PIK3CA	HRD-Dup	loss	0	16	0	24	inf	1.0	1.0	False
RB1	HRD-Dup	gain	1	15	0	24	inf	0.39999999999999963	1.0	False
RB1	HRD-Dup	loss	10	6	9	15	2.7777777777777777	0.19648939261842335	1.0	False
MYC	HRD-Dup	gain	11	5	11	13	2.6	0.2025950756095351	1.0	False
MYC	HRD-Dup	loss	1	15	0	24	inf	0.39999999999999963	1.0	False
FANCF	HRD-Dup	gain	1	15	0	24	inf	0.39999999999999963	1.0	False
