stage	gc_clamp	max_alignment_count	min_product_count	max_product_count	opt_size	target_buffer	min_product_size	max_product_size
0	2	5	1	5	21	30	150	180
1	2	5	1	5	23	15	140	200
2	2	5	1	5	25	0	140	200
3	1	5	1	5	25	0	140	200
4	-1	5	1	5	25	0	140	200
5	-1	15	1	15	25	0	140	200
6	-1	-1	1	-1	25	0	140	200
