stage	gc_clamp	max_alignment_count	min_product_count	max_product_count	opt_size	target_buffer	min_product_size	max_product_size
0	2	5	0	1	21	50	200	300
1	2	5	0	1	23	50	200	300
2	2	5	0	1	25	20	200	300
3	1	5	0	1	25	20	200	300
4	-1	5	0	1	25	20	200	300
5	-1	15	0	2	25	20	200	300
6	-1	-1	0	5	25	20	200	300
